Health State,SEM Code,Colony ID,Polyp ID,Inner Diameter,Septa Number,Septa width 1,Septa width 2,Septa width 3,Septa width 4,Septa width 5,Septa width 6,Average
HLT,8.b,8,2,619.262,6,13.372,19.376,17.043,20.742,35.658,21.584,21.29583333
HLT,8.b,8,3,1391.466,6,25.479,37.577,29.521,20.639,24.042,34.085,28.55716667
HLT,9.a,9,1,1238.4,6,26.154,18.681,16.832,27.793,30.709,36.647,26.136
HLT,9.a,9,2,915.964,6,43.477,74.81,38.927,45.346,30.885,29.643,43.848
HLT,9.a,9,3,986.103,6,33.498,24.47,33.337,25.457,24.937,18.444,26.6905
HLT,9.a,9,4,1176.773,6,35.714,29.496,38.982,23.075,27.295,23.139,29.61683333
HLT,9.a,9,5,1057.989,6,24.793,28.351,33.915,30.751,33.457,30.515,30.297
HLT,9.a,9,6,899.06,6,16.563,33.424,33.356,22.697,35.887,31.548,28.9125
HLT,9.a,9,7,982.969,6,35.202,38.862,32.392,31.819,29.808,45.809,35.64866667
HLT,9.b,9,1,1091.916,6,27.771,35.843,28.667,50.948,48.121,34.048,37.56633333
HLT,9.b,9,2,1102.654,6,37.261,50.033,33.768,28.485,29.478,40.436,36.57683333
HLT,9.b,9,3,866.303,6,41.609,28.009,32.439,34.783,37.189,26.005,33.339
HLT,9.c,9,1,1101.38,6,31.662,30.416,26.585,29.786,26.528,27.261,28.70633333
HLT,9.c,9,2,1114.648,6,37.123,33.531,40.578,32.108,31.139,30.172,34.1085
HLT,9.c,9,3,781.355,6,32.717,31.633,29.982,30.89,32.044,37.452,32.453
HLT,9.c,9,4,1055.445,6,28.73,42.987,44.201,21.805,23.114,27.793,31.43833333
HLT,9.c,9,5,1059.204,6,21.543,27.093,25.862,19.896,28.565,35.714,26.4455
HLT,9.c,9,6,1224.203,6,55.271,49.603,42.043,55.591,37.278,27.778,44.594
HLT,9.c,9,7,1004.16,6,34.813,25.54,27.784,27.505,37.379,30.053,30.51233333
HLT,9.c,9,8,1196.155,6,40.84,38.762,45.791,51.52,16.833,30.741,37.4145
HLT,9.c,9,9,987.421,6,31.743,22.138,33.662,37.622,27.792,35.421,31.39633333
HLT,10.a,10,1,1045.413,6,62.315,59.344,49.049,47.14,24.995,37.306,46.6915
HLT,10.a,10,2,1041.769,6,31.056,28.059,49.602,69.556,37.344,45.255,43.47866667
HLT,10.a,10,3,983.973,6,41.026,32.235,35.699,43.968,69.533,58.809,46.87833333
HLT,10.a,10,4,1101.259,6,91.658,57.004,50.903,51.911,69.575,72.913,65.66066667
HLT,10.a,10,5,1159.519,6,86.84,60.465,46.794,53.53,67.711,63.525,63.14416667
HLT,10.a,10,6,1099.462,6,69.574,47.494,56.843,69.135,32.098,46.39,53.589
HLT,10.a,10,7,979.468,6,55.763,43.609,26.641,27.723,60.744,28.352,40.472
HLT,10.a,10,8,1167.155,6,55.35,55.076,48.391,41.944,29.761,24.306,42.47133333
HLT,10.a,10,9,1013.157,6,29.421,31.206,29.605,44.254,28.297,34.967,32.95833333
